date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,LTCUSDT_position,LTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,41.62,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,39.43,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,42.23,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,42.78,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,43.3,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,45.8,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,46.3,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,45.35,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,44.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,49.06,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,49.3,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,51.43,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,49.6,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,58.39,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,58.16,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,57.56,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,61.02,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,59.32,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,57.6,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.0101829440691876,14450867.052023122,0.00692,-1748.5574401119077,57.19,200000,200000.0,0.0,1.0
2020-01-21,-1,-0.6992157407461423,14450867.052023122,0.00727,-1748.5574401119077,57.57,200000,205722.25529545062,5722.2552954506245,1.028611276477253
2020-01-22,-1,-0.3672728328444915,14450867.052023122,0.00767,-1748.5574401119077,58.33,200000,212831.50577074493,12831.50577074493,1.0641575288537246
2020-01-23,0,-0.10421159107689562,0.0,0.00734,0.0,54.52,200000,189261.9874730515,-10738.0125269485,0.9463099373652575
2020-01-24,0,-0.046367866310226075,0.0,0.00728,0.0,54.38,200000,189261.9874730515,-10738.0125269485,0.9463099373652575
2020-01-25,0,0.5155543951058823,0.0,0.00742,0.0,53.25,200000,189261.9874730515,-10738.0125269485,0.9463099373652575
2020-01-26,1,1.1695969548633767,-11639728.626878936,0.00813,1682.6279113891492,56.24,200000,189261.9874730515,-10738.0125269485,0.9463099373652575
2020-01-27,1,0.22698197779447685,-11639728.626878936,0.00781,1682.6279113891492,58.55,200000,189424.14478775917,-10575.85521224083,0.9471207239387959
2020-01-28,0,-0.23067328844609158,0.0,0.00776,0.0,60.52,200000,177753.64042036072,-22246.359579639276,0.8887682021018036
2020-01-29,0,-0.18935051876333636,0.0,0.00764,0.0,59.8,200000,177753.64042036072,-22246.359579639276,0.8887682021018036
2020-01-30,-2,-2.2161858547557562,0.0,0.00742,0.0,67.98,200000,177753.64042036072,-22246.359579639276,0.8887682021018036
2020-01-31,-1,-1.1856141193429401,11193554.182642365,0.00794,-1307.012061914417,68.0,200000,177753.64042036072,-22246.359579639276,0.8887682021018036
2020-02-01,-2,-1.5300232459941052,0.0,0.00792,0.0,70.72,200000,181532.5843124208,-18467.415687579196,0.907662921562104
2020-02-02,-1,-1.1569404033862356,11359986.502654618,0.00799,-1297.9592757930843,69.93,200000,181532.5843124208,-18467.415687579196,0.907662921562104
2020-02-03,-1,-1.183437572860178,11359986.502654618,0.00792,-1297.9592757930843,69.65,200000,180373.9566600129,-19626.04333998711,0.9018697833000644
2020-02-04,-1,-0.20454331698629208,11359986.502654618,0.00837,-1297.9592757930843,68.07,200000,183435.1749304544,-16564.825069545594,0.917175874652272
2020-02-05,-1,-0.917062068945226,11359986.502654618,0.00839,-1297.9592757930843,72.59,200000,189529.15058709224,-10470.849412907759,0.9476457529354612
2020-02-06,0,0.6099368487823753,0.0,0.00964,0.0,73.6,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-07,0,0.7552202878290645,0.0,0.00988,0.0,74.3,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-08,0,-0.4737043959110256,0.0,0.00925,0.0,76.56,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-09,0,0.06211909434168831,0.0,0.00973,0.0,77.0,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-10,0,0.4477822790456541,0.0,0.00965,0.0,74.02,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-11,0,-0.08728383802740057,0.0,0.00954,0.0,76.46,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-12,0,0.7978636144077332,0.0,0.01082,0.0,81.17,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-13,2,1.687118153179575,0.0,0.01156,0.0,80.55,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-14,1,1.1573938679543165,-7310301.794293249,0.01146,1007.6504517993822,83.14,200000,167552.11712520127,-32447.882874798728,0.8377605856260064
2020-02-15,1,0.7151838362788094,-7310301.794293249,0.01013,1007.6504517993822,76.7,200000,151340.14682920324,-48659.85317079676,0.7567007341460161
2020-02-16,0,0.15513830423904712,0.0,0.00944,0.0,74.67,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-17,0,-0.1450208798636284,0.0,0.00906,0.0,73.41,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-18,0,-0.32711562996239685,0.0,0.00938,0.0,77.25,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-19,0,-0.5715218534080259,0.0,0.00848,0.0,70.61,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-20,0,-0.8128758609981086,0.0,0.0082,0.0,69.4,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-21,-2,-1.254349572056024,0.0,0.00841,0.0,73.25,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-22,-2,-1.5178189300505012,0.0,0.0084,0.0,74.79,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-23,-2,-2.031124413648628,0.0,0.00845,0.0,79.52,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-24,-2,-1.7050384673171086,0.0,0.00809,0.0,75.59,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-25,-2,-1.7534291873055807,0.0,0.00743,0.0,70.98,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-26,-2,-1.3500776910780077,0.0,0.00649,0.0,60.53,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-27,-1,-1.1553328811682788,12092961.53129458,0.00667,-1305.8127475106821,61.77,200000,161320.1068274697,-38679.89317253031,0.8066005341373484
2020-02-28,-1,-0.9162593091412911,12092961.53129458,0.00658,-1305.8127475106821,59.89,200000,157776.8123243331,-42223.18767566691,0.7888840616216655
2020-02-29,-1,-0.8583883344546739,12092961.53129458,0.00636,-1305.8127475106821,58.05,200000,152713.66533202864,-47286.33466797136,0.7635683266601432
2020-03-01,-1,-0.8864680263262537,12092961.53129458,0.00624,-1305.8127475106821,57.7,200000,150805.47548664454,-49194.524513355456,0.7540273774332227
2020-03-02,-1,-0.784221554271687,12092961.53129458,0.00666,-1305.8127475106821,61.42,200000,160742.142750528,-39257.857249472,0.80371071375264
2020-03-03,-1,-0.6581975511212933,12092961.53129458,0.00665,-1305.8127475106821,61.01,200000,160085.82990873564,-39914.17009126436,0.8004291495436782
2020-03-04,-1,-0.34266526306550155,12092961.53129458,0.00674,-1305.8127475106821,60.38,200000,160351.53441562047,-39648.46558437953,0.8017576720781023
2020-03-05,0,-0.041199503040483726,0.0,0.00703,0.0,62.06,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-06,0,0.6475596277199854,0.0,0.00739,0.0,63.22,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-07,0,0.5811756427905006,0.0,0.00698,0.0,60.46,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-08,0,0.5548845743587194,0.0,0.00584,0.0,51.0,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-09,2,1.9011876357607227,0.0,0.00609,0.0,50.39,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-10,2,2.0348912549938842,0.0,0.00613,0.0,50.26,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-11,2,2.1073591513408405,0.0,0.006,0.0,48.53,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-12,-2,-2.5537972277157395,0.0,0.0028,0.0,29.83,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-13,-2,-2.8980597090204454,0.0,0.00311,0.0,37.52,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-14,-2,-2.106713632572465,0.0,0.00297,0.0,34.4,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-15,-2,-1.9606335150203182,0.0,0.00306,0.0,36.38,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-16,-2,-1.6849482460369802,0.0,0.00281,0.0,33.2,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-17,-2,-1.5545289843154715,0.0,0.00285,0.0,34.07,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-18,-2,-1.4433733013169276,0.0,0.00287,0.0,34.71,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-19,0,-0.8068550990468636,0.0,0.00354,0.0,38.9,200000,157345.32637298174,-42654.67362701826,0.7867266318649087
2020-03-20,-1,-1.011619734700798,23912663.582520023,0.00329,-2065.9838021662517,38.08,200000,157345.3263729817,-42654.67362701829,0.7867266318649085
2020-03-21,-1,-0.9836303331340709,23912663.582520023,0.00327,-2065.9838021662517,38.32,200000,157362.90921385126,-42637.090786148736,0.7868145460692564
2020-03-22,-1,-1.0080600856880026,23912663.582520023,0.00295,-2065.9838021662517,35.4,200000,143678.18416511937,-56321.81583488063,0.7183909208255969
2020-03-23,-1,-0.9931280508089444,23912663.582520023,0.00319,-2065.9838021662517,38.94,200000,156730.8060845927,-43269.19391540729,0.7836540304229636
2020-03-24,-1,-1.0113145297874264,23912663.582520023,0.00324,-2065.9838021662517,40.57,200000,161293.99286124972,-38706.00713875028,0.8064699643062486
2020-03-25,-1,-0.5825893613161484,23912663.582520023,0.00336,-2065.9838021662517,39.17,200000,161271.13516811936,-38728.86483188064,0.8063556758405968
2020-03-26,-1,-0.5630636735488395,23912663.582520023,0.00343,-2065.9838021662517,40.41,200000,165506.8415335819,-34493.1584664181,0.8275342076679095
2020-03-27,-1,-0.35346327708038394,23912663.582520023,0.00331,-2065.9838021662517,38.04,200000,157740.94029254548,-42259.05970745452,0.7887047014627274
2020-03-28,-1,-0.6807155275283835,23912663.582520023,0.00315,-2065.9838021662517,38.87,200000,155629.68067514026,-44370.31932485974,0.7781484033757013
2020-03-29,-1,-0.695819589219189,23912663.582520023,0.00297,-2065.9838021662517,37.11,200000,147689.26973847407,-52310.730261525925,0.7384463486923704
2020-03-30,-1,-0.6115255489680315,23912663.582520023,0.00314,-2065.9838021662517,38.91,200000,155473.19339140173,-44526.80660859827,0.7773659669570087
2020-03-31,0,0.3340374209807883,0.0,0.00335,0.0,39.08,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-01,2,1.2186029519719654,0.0,0.00344,0.0,39.23,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-02,2,1.2136558516630143,0.0,0.00351,0.0,39.86,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-03,0,-0.12459517943897452,0.0,0.0034,0.0,40.46,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-04,0,0.510225763437543,0.0,0.0035,0.0,40.71,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-05,0,0.4395950872255154,0.0,0.00346,0.0,40.31,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-06,0,0.5009306383719133,0.0,0.00388,0.0,45.04,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-07,0,-0.8270909521062692,0.0,0.00368,0.0,44.77,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-08,0,0.28070287931409177,0.0,0.00396,0.0,46.55,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-09,0,-0.26806512047223235,0.0,0.00386,0.0,46.21,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-10,0,-0.5798513003479921,0.0,0.00349,0.0,42.25,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-11,-1,-1.0138554531284623,22828981.265924394,0.00346,-1856.8000747554865,42.54,200000,157976.5503601968,-42023.449639803206,0.789882751800984
2020-04-12,0,-0.10016855489113612,0.0,0.00352,0.0,42.0,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-13,2,2.54893788400878,0.0,0.0038,0.0,41.22,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-14,2,2.4503658426282766,0.0,0.00387,0.0,41.22,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-15,0,0.7467948353180772,0.0,0.00345,0.0,39.22,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-16,0,-0.06995431128429003,0.0,0.00361,0.0,42.53,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-17,0,-0.005995970326988386,0.0,0.0036,0.0,42.19,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-18,0,0.2656239685815726,0.0,0.00382,0.0,44.14,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-19,0,0.15397346607461143,0.0,0.00365,0.0,42.23,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-20,0,-0.6651791946995919,0.0,0.00337,0.0,40.21,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-21,0,-0.6896560019556446,0.0,0.00339,0.0,40.59,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
2020-04-22,0,-0.187549281880458,0.0,0.00355,0.0,41.8,200000,155604.13944387337,-44395.86055612663,0.7780206972193668
